제목,주최사,url,장소,장르,시작일,종료일,등록일
한경아르떼TV개국 기념  송년음악회,"한국경제신문, 한경arteTV",https://www.sac.or.kr/site/main/show/show_view?SN=49175,콘서트홀,교향곡,2022-12-21,2022-12-21,2022-09-16
프랑스 스트라스부르 국립 오케스트라 공연,라보라 예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46585,콘서트홀,교향곡,2022-12-21,2022-12-21,2021-07-15
최은진 바이올린 독주회,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=47518,인춘아트홀,클래식,2022-12-20,2022-12-20,2021-12-17
프랑스 스트라스부르 국립 오케스트라 공연,"Orchestre Philharmonique de Strasbourg, 라보라 예술기획, 영앤잎섬(주)",https://www.sac.or.kr/site/main/show/show_view?SN=46587,콘서트홀,교향곡,2022-12-20,2022-12-20,2021-07-15
제 19회 하트 시각장애인 체임버 오케스트라 정기연주회,(사)부암뮤직소사이어티,https://www.sac.or.kr/site/main/show/show_view?SN=46588,IBK챔버홀,실내악,2022-12-20,2022-12-20,2021-07-15
홍혜도 피아노독주회- Bach 평균율와 Schubert 소나타 전곡시리즈 :마지막회,홍혜도,https://www.sac.or.kr/site/main/show/show_view?SN=46589,리사이틀홀,독주,2022-12-20,2022-12-20,2021-07-12
연극 레드,(주)신시컴퍼니,https://www.sac.or.kr/site/main/show/show_view?SN=47510,자유소극장,연극,2022-12-20,2023-02-19,2021-11-17
쏠리스트앙상블 송년음악회,다음클래스,https://www.sac.or.kr/site/main/show/show_view?SN=48578,콘서트홀,합창,2022-12-18,2022-12-18,2022-05-24
크리스마스 첼로의 성가 - 송영훈 4 첼리스트,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=47810,IBK챔버홀,클래식,2022-12-18,2022-12-18,2022-02-10
코다이 탄생 140주년 기념 서울코다이싱어즈 정기연주회 <Missa,"(사)한국코다이협회, 주한헝가리대사관,주한리스트헝가리문화원서울",https://www.sac.or.kr/site/main/show/show_view?SN=49172,IBK챔버홀,합창,2022-12-18,2022-12-18,2022-09-13
히사이시 조 & 스튜디오 지브리 라이브 인 콘서트,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=47271,콘서트홀,콘서트,2022-12-18,2022-12-18,2021-10-22
박재연 렉쳐 리사이틀,,https://www.sac.or.kr/site/main/show/show_view?SN=46935,인춘아트홀,독주,2022-12-18,2022-12-18,2021-08-10
인춘재단,-,https://www.sac.or.kr/site/main/show/show_view?SN=45425,IBK챔버홀,뮤지컬,2022-12-18,2022-12-18,2021-02-17
박미선 귀국 플루트 독주회,프로아트엔터테인먼트,https://www.sac.or.kr/site/main/show/show_view?SN=46591,리사이틀홀,독주,2022-12-18,2022-12-18,2021-07-15
최서윤 귀국 바이올린 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=46590,리사이틀홀,독주,2022-12-18,2022-12-18,2021-07-15
최재원 바이올린 독주회,영음예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46592,리사이틀홀,독주,2022-12-17,2022-12-17,2021-07-15
신세계와 함께하는 2022 예술의전당 토요콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45392,콘서트홀,클래식,2022-12-17,2022-12-17,2021-02-09
이원정 작곡 발표회,이든예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=47811,인춘아트홀,클래식,2022-12-17,2022-12-17,2022-02-11
에드 무지카 정기연주회 < The Concert in S: 슈베르트 탄생 225주년 >,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=46594,리사이틀홀,실내악,2022-12-17,2022-12-17,2021-07-16
서울아카데미앙상블 제93회 정기연주회,서울아카데미앙상블,https://www.sac.or.kr/site/main/show/show_view?SN=46593,IBK챔버홀,실내악,2022-12-17,2022-12-17,2021-07-14
2022 예술의전당 & 국립발레단 <호두까기인형>,"예술의전당, 국립발레단",https://www.sac.or.kr/site/main/show/show_view?SN=49294,오페라극장,무용,2022-12-17,2022-12-25,2022-11-09
심선민 타악기 독주회,음악교육신문사,https://www.sac.or.kr/site/main/show/show_view?SN=46595,IBK챔버홀,독주,2022-12-17,2022-12-17,2021-07-15
이우일 바이올린 독주회,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=46936,인춘아트홀,클래식,2022-12-16,2022-12-16,2021-08-13
파리나무십자가 소년합창단 특별초청공연,에스피에이엔터테인먼트(주),https://www.sac.or.kr/site/main/show/show_view?SN=49076,콘서트홀,합창,2022-12-16,2022-12-16,2022-07-27
스트링 옥텟 콘서트,에이치엠에스컴퍼니,https://www.sac.or.kr/site/main/show/show_view?SN=47812,IBK챔버홀,실내악,2022-12-16,2022-12-16,2022-02-10
야로스와브 돔자우 첼로 독주회,,https://www.sac.or.kr/site/main/show/show_view?SN=46596,리사이틀홀,실내악,2022-12-16,2022-12-16,2021-07-16
파보 예르비 & 도이치 캄머필하모닉,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=46597,콘서트홀,클래식,2022-12-16,2022-12-16,2021-07-14
인춘재단,-,https://www.sac.or.kr/site/main/show/show_view?SN=45424,IBK챔버홀,뮤지컬,2022-12-16,2022-12-16,2021-02-17
임남희의 피아노 스토리,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46600,리사이틀홀,독주,2022-12-15,2022-12-15,2021-07-16
최고위과정 2기 예정,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=50000,인춘아트홀,뮤지컬,2022-12-15,2022-12-15,2021-11-30
(임)기업은행,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=46019,IBK챔버홀,뮤지컬,2022-12-15,2022-12-15,2021-04-07
아티너스 29회 정기 연주회,,https://www.sac.or.kr/site/main/show/show_view?SN=48561,인춘아트홀,독주,2022-12-15,2022-12-15,2022-05-27
트리오 가온 리사이틀,프레스토 아트,https://www.sac.or.kr/site/main/show/show_view?SN=46599,IBK챔버홀,실내악,2022-12-15,2022-12-15,2021-07-15
파보 예르비 & 도이치 캄머필하모닉,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=46598,콘서트홀,클래식,2022-12-15,2022-12-15,2021-07-14
